SR,AuthorID,Affiliation,Country,PersonID
"RITALA P, 2014, IND MARKET MANAG",ORCID:0000-0002-8847-0191,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-8847-0191
"RITALA P, 2009, INT J INNOV MANAG",ORCID:0000-0003-1129-5767,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1129-5767
"RISWANTO A, 2020, MANAGEMENT SCIENCE LETTERS",ORCID:0000-0002-0924-7996,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-0924-7996
"RISWANTO A, 2020, MANAGEMENT SCIENCE LETTERS",OA:A5022825652,NO AFFILIATION,NO COUNTRY,OA:A5022825652
"RISWANTO A, 2020, MANAGEMENT SCIENCE LETTERS",ORCID:0000-0003-0137-5886,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-0137-5886
"RISWANTO A, 2020, MANAGEMENT SCIENCE LETTERS",OA:A5053205150,NO AFFILIATION,NO COUNTRY,OA:A5053205150
"RISWANTO A, 2020, MANAGEMENT SCIENCE LETTERS",OA:A5013047124,NO AFFILIATION,NO COUNTRY,OA:A5013047124
"RISWANTO A, 2020, MANAGEMENT SCIENCE LETTERS",OA:A5027174582,NO AFFILIATION,NO COUNTRY,OA:A5027174582
"HILAL OA, 2022, J ENTREP EMERG ECON",ORCID:0000-0001-6757-0428,NO AFFILIATION,NO COUNTRY,ORCID:0000-0001-6757-0428
"RIPOLLÉS-MELIÁ M, 2007, J INT ENTREP",ORCID:0000-0003-3157-814X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-3157-814X
"HILAL OA, 2022, J ENTREP EMERG ECON",ORCID:0000-0002-4413-1542,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-4413-1542
"RINGO DS, 2022, COGENT BUS MANAG",ORCID:0000-0003-1474-6017,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1474-6017
"RINGO DS, 2022, COGENT BUS MANAG",ORCID:0000-0002-9529-4712,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-9529-4712
"RINGO DS, 2022, COGENT BUS MANAG",ORCID:0000-0002-7847-3874,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-7847-3874
"RIJSDIJK SA, 2011, J PROD INNOVAT MANAG",OA:A5033330521,NO AFFILIATION,NO COUNTRY,OA:A5033330521
"RIJSDIJK SA, 2011, J PROD INNOVAT MANAG",ORCID:0000-0003-2489-2042,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-2489-2042
"RIJAL S, 2024, INTERNATIONAL JOURNAL OF BUSINESS LAW AND EDUCATION",ORCID:0000-0003-3258-0233,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-3258-0233
"RIJAL S, 2024, INTERNATIONAL JOURNAL OF BUSINESS LAW AND EDUCATION",OA:A5113318324,NO AFFILIATION,NO COUNTRY,OA:A5113318324
"RIJAL S, 2024, INTERNATIONAL JOURNAL OF BUSINESS LAW AND EDUCATION",OA:A5099091485,NO AFFILIATION,NO COUNTRY,OA:A5099091485
"RIGGS R, 2024, J BUS RES",ORCID:0000-0002-9419-5069,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-9419-5069
"RIGGS R, 2024, J BUS RES",ORCID:0000-0002-2964-5713,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-2964-5713
"RIGGS R, 2024, J BUS RES",ORCID:0000-0003-4835-0870,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4835-0870
"RIGDON EE, 2012, LONG RANGE PLANN",ORCID:0000-0003-4904-3952,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4904-3952
"RIFON NJ, 2004, J ADVERTISING",OA:A5003991775,NO AFFILIATION,NO COUNTRY,OA:A5003991775
"RIFON NJ, 2004, J ADVERTISING",ORCID:0000-0002-6045-4616,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6045-4616
"RIFON NJ, 2004, J ADVERTISING",OA:A5113602683,NO AFFILIATION,NO COUNTRY,OA:A5113602683
"RIFON NJ, 2004, J ADVERTISING",ORCID:0000-0001-6098-1689,NO AFFILIATION,NO COUNTRY,ORCID:0000-0001-6098-1689
"RIDING AL, 1990, J BUS VENTURING",ORCID:0000-0003-3982-4202,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-3982-4202
"RIDING AL, 1990, J BUS VENTURING",OA:A5049832737,NO AFFILIATION,NO COUNTRY,OA:A5049832737
"RIDEOUT EC, 2013, J SMALL BUS MANAGE",OA:A5072777210,NO AFFILIATION,NO COUNTRY,OA:A5072777210
"RIDEOUT EC, 2013, J SMALL BUS MANAGE",OA:A5020264603,NO AFFILIATION,NO COUNTRY,OA:A5020264603
"RITTER T, 2020, IND MARKET MANAG",ORCID:0000-0002-9328-9784,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-9328-9784
"RITTICHAINUWAT B, 2011, ANN TOURISM RES",ORCID:0000-0002-8682-593X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-8682-593X
"ROBERTSON PL, 2001, MANAG DECIS ECON",ORCID:0000-0002-6605-2589,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6605-2589
"ROBERTSON PL, 2001, MANAG DECIS ECON",OA:A5113613183,NO AFFILIATION,NO COUNTRY,OA:A5113613183
"ROCHIYATI M, 2022, STUD BUS ECON-ROM",OA:A5067490048,NO AFFILIATION,NO COUNTRY,OA:A5067490048
"ROCHIYATI M, 2022, STUD BUS ECON-ROM",OA:A5088872622,NO AFFILIATION,NO COUNTRY,OA:A5088872622
"ROCHIYATI M, 2022, STUD BUS ECON-ROM",OA:A5104075865,NO AFFILIATION,NO COUNTRY,OA:A5104075865
"ROBSON PJA, 2012, INT SMALL BUS J",OA:A5036130001,NO AFFILIATION,NO COUNTRY,OA:A5036130001
"ROBLEDO-GIRALDO SEBASTIAN, 2023, REVISTA INVESTIG. DESARRO. INNOV.",OA:A5092402789,NO AFFILIATION,NO COUNTRY,OA:A5092402789
"ROBLEDO-GIRALDO SEBASTIAN, 2023, REVISTA INVESTIG. DESARRO. INNOV.",OA:A5092402790,NO AFFILIATION,NO COUNTRY,OA:A5092402790
"ROBLEDO-GIRALDO SEBASTIAN, 2023, REVISTA INVESTIG. DESARRO. INNOV.",OA:A5092402791,NO AFFILIATION,NO COUNTRY,OA:A5092402791
"NOURI P, 2018, QUAL REP",ORCID:0000-0002-2448-6581,"UNIV TEHRAN, FAC ENTREPRENEURSHIP, BUSINESS ENTREPRENEURSHIP, TEHRAN, IRAN.;",NO COUNTRY,ORCID:0000-0002-2448-6581
"NOURI P, 2018, QUAL REP",NAME:IMANIPOUR_NARGES,"UNIV TEHRAN, FAC ENTREPRENEURSHIP, ENTREPRENEURSHIP, TEHRAN, IRAN.;",NO COUNTRY,ORCID:0000-0002-6905-6673
"ROBINSON WT, 2002, J MARKETING RES",OA:A5108214373,NO AFFILIATION,NO COUNTRY,OA:A5108214373
"NOURI P, 2018, QUAL REP",ORCID:0000-0002-6905-6673,"UNIV TEHRAN, FAC ENTREPRENEURSHIP, ENTREPRENEURSHIP, DEPT BUSINESS CREAT, TEHRAN, IRAN.;",NO COUNTRY,nan
"ROBINSON S, 2016, EDUC TRAIN",ORCID:0000-0003-3183-3972,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-3183-3972
"ROBINSON L, 2008, DISASTERS",ORCID:0000-0001-5202-8206,NO AFFILIATION,NO COUNTRY,ORCID:0000-0001-5202-8206
"ROBINSON L, 2008, DISASTERS",OA:A5062518866,NO AFFILIATION,NO COUNTRY,OA:A5062518866
"ROBINSON KC, 2001, STRATEGIC MANAGE J",OA:A5015975022,NO AFFILIATION,NO COUNTRY,OA:A5015975022
"ROBIADY ND, 2021, INT J RES MARK",OA:A5069872183,NO AFFILIATION,NO COUNTRY,OA:A5069872183
"ROBIADY ND, 2021, INT J RES MARK",ORCID:0000-0001-6298-9553,NO AFFILIATION,NO COUNTRY,ORCID:0000-0001-6298-9553
"ROBIADY ND, 2021, INT J RES MARK",ORCID:0000-0001-6911-6106,NO AFFILIATION,NO COUNTRY,ORCID:0000-0001-6911-6106
"NOURI P, 2018, QUAL REP",NAME:ZALI_MOHAMMADREZA,"UNIV TEHRAN, FAC ENTREPRENEURSHIP, TEHRAN, IRAN.;",NO COUNTRY,"NAME:ZALI, MOHAMMADREZA"
"RITVALA T, 2014, INT BUS REV",ORCID:0000-0002-6134-2800,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6134-2800
"RITVALA T, 2014, INT BUS REV",ORCID:0000-0002-1313-701X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-1313-701X
"ROBERTS N, 2012, J BUS RES",ORCID:0000-0001-6393-2591,NO AFFILIATION,NO COUNTRY,ORCID:0000-0001-6393-2591
"ROBERTS N, 2012, J BUS RES",ORCID:0000-0002-2894-1844,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-2894-1844
"ROBERTS HV, 1957, J MARKETING",OA:A5058654616,NO AFFILIATION,NO COUNTRY,OA:A5058654616
"ROBB CC, 2025, J SMALL BUS MANAGE",ORCID:0000-0002-8905-0930,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-8905-0930
"ROBB CC, 2025, J SMALL BUS MANAGE",OA:A5006191308,NO AFFILIATION,NO COUNTRY,OA:A5006191308
"ANWAR MN, 2016, QUAL MARK RES",ORCID:0000-0002-7227-3484,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-7227-3484
"ROBB CC, 2025, J SMALL BUS MANAGE",ORCID:0000-0003-3997-5940,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-3997-5940
"BHARDWAJ BR, 2018, J ENTERP COMMUNITIES",ORCID:0000-0002-4111-0770,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-4111-0770
"ROACH D, 2018, CAN J ADM SCI",ORCID:0000-0002-5043-2229,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-5043-2229
"ROACH D, 2018, CAN J ADM SCI",OA:A5031646672,NO AFFILIATION,NO COUNTRY,OA:A5031646672
"ROACH D, 2018, CAN J ADM SCI",OA:A5011133273,NO AFFILIATION,NO COUNTRY,OA:A5011133273
"BOONCHOO P, 2013, J RES MARK ENTREP",ORCID:0000-0002-9731-764X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-9731-764X
"RIZZATO M, 2023, PHYSICA A",OA:A5110934885,NO AFFILIATION,NO COUNTRY,OA:A5110934885
"RIZZATO M, 2023, PHYSICA A",OA:A5015401769,NO AFFILIATION,NO COUNTRY,OA:A5015401769
"RIZZATO M, 2023, PHYSICA A",ORCID:0000-0002-4512-3800,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-4512-3800
"RIZZATO M, 2023, PHYSICA A",OA:A5104662107,NO AFFILIATION,NO COUNTRY,OA:A5104662107
"RIVARD S, 1988, COMMUN ACM",ORCID:0000-0001-7001-5513,NO AFFILIATION,NO COUNTRY,ORCID:0000-0001-7001-5513
"RIVARD S, 1988, COMMUN ACM",OA:A5113478799,NO AFFILIATION,NO COUNTRY,OA:A5113478799
"RITZ W, 2019, J RES INTERACT MARK",ORCID:0000-0002-3207-2856,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-3207-2856
"RITZ W, 2019, J RES INTERACT MARK",ORCID:0000-0001-8394-9921,NO AFFILIATION,NO COUNTRY,ORCID:0000-0001-8394-9921
"RITZ W, 2019, J RES INTERACT MARK",OA:A5041810550,NO AFFILIATION,NO COUNTRY,OA:A5041810550
"RIDDLE L, 2011, INT BUS REV",OA:A5031717251,NO AFFILIATION,NO COUNTRY,OA:A5031717251
"RIDDLE L, 2011, INT BUS REV",ORCID:0000-0003-0887-0863,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-0887-0863
"RIDDER HG, 2017, BUSINESS RES",OA:A5112253034,NO AFFILIATION,NO COUNTRY,OA:A5112253034
"BOONCHOO P, 2013, J RES MARK ENTREP",ORCID:0000-0001-8140-9307,NO AFFILIATION,NO COUNTRY,ORCID:0000-0001-8140-9307
"RETTIE R, 2008, QUAL MARK RES",OA:A5014269277,NO AFFILIATION,NO COUNTRY,OA:A5014269277
"RETTIE R, 2008, QUAL MARK RES",OA:A5062465473,NO AFFILIATION,NO COUNTRY,OA:A5062465473
"BOONCHOO P, 2013, J RES MARK ENTREP",ORCID:0000-0003-1671-5521,NO AFFILIATION,NO COUNTRY,nan
"MOST F, 2018, J RES MARK ENTREP",OA:A5047671840,NO AFFILIATION,NO COUNTRY,OA:A5047671840
"SALIH ES, 2024, J DEV ENTREP",ORCID:0009-0006-9812-0407,NO AFFILIATION,NO COUNTRY,ORCID:0009-0006-9812-0407
"SALIH ES, 2024, J DEV ENTREP",ORCID:0009-0003-9263-8297,NO AFFILIATION,NO COUNTRY,ORCID:0009-0003-9263-8297
"CAPELI CMD, 2025, J SMALL BUS ENTERP D",OA:A5114439571,NO AFFILIATION,NO COUNTRY,OA:A5114439571
"RENTSCHLER R, 2012, ARTS MARKETING",ORCID:0000-0002-8014-0104,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-8014-0104
"RENTON M, 2019, J MACROMARKETING",ORCID:0000-0002-1119-7465,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-1119-7465
"TIAN HY, 2025, J COMPETITIVENESS",NAME:IQBAL_SHUJA,"JIANGSU UNIV, SCH MANAGEMENT, ZHENJIANG, JIANGSU, PEOPLES R CHINA.;",CHINA,ORCID:0000-0001-6595-9288
"REN SC, 2015, INT BUS REV",ORCID:0000-0001-7721-5040,NO AFFILIATION,NO COUNTRY,ORCID:0000-0001-7721-5040
"REN SC, 2015, INT BUS REV",OA:A5108489473,NO AFFILIATION,NO COUNTRY,OA:A5108489473
"REIO TG, 2010, HUMAN RESOURCE DEVELOPMENT REVIEW",ORCID:0000-0002-2554-1159,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-2554-1159
"REINGEWERTZ Y, 2021, PLOS ONE",ORCID:0000-0002-6957-8623,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6957-8623
"TIAN HY, 2025, J COMPETITIVENESS",NAME:AKHTAR_SHAMIM,"JIANGSU UNIV, SCH MANAGEMENT, ZHENJIANG, JIANGSU, PEOPLES R CHINA.;",CHINA,"NAME:AKHTAR, SHAMIM"
"REINARTZ W, 2004, J MARKETING RES",OA:A5108741296,NO AFFILIATION,NO COUNTRY,OA:A5108741296
"TIAN HY, 2025, J COMPETITIVENESS",NAME:ASHRAF_SHEIKH_FARHAN,"GUANGDONG UNIV FOREIGN STUDIES, GUANGDONG INST INT STRATEGIES, GUANGZHOU, PEOPLES R CHINA.;",CHINA,"NAME:ASHRAF, SHEIKH FARHAN"
"TIAN HY, 2025, J COMPETITIVENESS",NAME:ASHRAF_SHEIKH_FARHAN,"GUANGDONG UNIV FOREIGN STUDIES, GUANGDONG INST INT STRATEGIES, GUANGZHOU, PEOPLES R CHINA.;",CHINA,NAME:ASHRAF|SF
"REIJONEN H, 2015, IND MARKET MANAG",ORCID:0000-0003-1810-6893,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1810-6893
"HONG YW, 2024, INT J ENTREP BEHAV R",ORCID:0000-0002-9054-2932,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-9054-2932
"REIJONEN H, 2012, J SMALL BUS MANAGE",ORCID:0000-0001-5908-573X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0001-5908-573X
"REUSCHKE D, 2022, FUTURES",ORCID:0000-0001-6961-1801,NO AFFILIATION,NO COUNTRY,ORCID:0000-0001-6961-1801
"HONG YW, 2024, INT J ENTREP BEHAV R",ORCID:0000-0003-3248-7872,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-3248-7872
"RICHART CB, 1997, ENTREPRENEURSHIP THEORY ANDPRACTICE",OA:A5010812132,NO AFFILIATION,NO COUNTRY,OA:A5010812132
"RICHARDSON I, 2008, EDUC TRAIN",ORCID:0000-0002-5493-2837,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-5493-2837
"RICHARDSON I, 2008, EDUC TRAIN",ORCID:0000-0003-2918-9057,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-2918-9057
"RICHARD PJ, 2009, J MANAGE",OA:A5054645093,NO AFFILIATION,NO COUNTRY,OA:A5054645093
"HO KLP, 2022, J INNOV KNOWL",OA:A5085715451,NO AFFILIATION,NO COUNTRY,OA:A5085715451
"RICHARD PJ, 2009, J MANAGE",OA:A5052375807,NO AFFILIATION,NO COUNTRY,OA:A5052375807
"ENTSMINGER JS, 2024, J RES MARK ENTREP",ORCID:0000-0001-6681-059X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0001-6681-059X
"RICCIARDI F, 2016, J BUS RES",ORCID:0000-0002-0645-7031,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-0645-7031
"AMONCAR N, 2020, J RES MARK ENTREP",OA:A5065170845,NO AFFILIATION,NO COUNTRY,OA:A5065170845
"SIGUÉ SP, 2020, J AFR BUS",ORCID:0000-0002-4061-0853,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-4061-0853
"RHEE M, 2020, INT J INNOV MANAG",OA:A5038718885,NO AFFILIATION,NO COUNTRY,OA:A5038718885
"RHEE M, 2020, INT J INNOV MANAG",ORCID:0000-0001-9451-3867,NO AFFILIATION,NO COUNTRY,ORCID:0000-0001-9451-3867
"REZVANI M, 2013, J BUS ECON MANAG",OA:A5007741376,NO AFFILIATION,NO COUNTRY,OA:A5007741376
"REZVANI M, 2013, J BUS ECON MANAG",OA:A5007988854,NO AFFILIATION,NO COUNTRY,OA:A5007988854
"REVELLE W, 2009, PSYCHOMETRIKA",ORCID:0000-0003-4880-9610,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4880-9610
"REVELLE W, 2009, PSYCHOMETRIKA",ORCID:0000-0002-2670-6330,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-2670-6330
"REZAEI-MOGHADDAM K, 2019, J GLOB ENTREP RES",ORCID:0000-0003-2661-453X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-2661-453X
"REZAEI-MOGHADDAM K, 2019, J GLOB ENTREP RES",OA:A5015012541,NO AFFILIATION,NO COUNTRY,OA:A5015012541
"REZAEI-MOGHADDAM K, 2019, J GLOB ENTREP RES",ORCID:0000-0002-9568-9247,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-9568-9247
"REZAEI J, 2018, MANAG RES REV",ORCID:0000-0002-7407-9255,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-7407-9255
"REZAEI J, 2018, MANAG RES REV",OA:A5060375005,NO AFFILIATION,NO COUNTRY,OA:A5060375005
"REYT JN, 2015, ACAD MANAGE J",OA:A5076028814,NO AFFILIATION,NO COUNTRY,OA:A5076028814
"REYT JN, 2015, ACAD MANAGE J",ORCID:0000-0002-6854-1976,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6854-1976
"SIGUÉ SP, 2020, J AFR BUS",OA:A5057186744,NO AFFILIATION,NO COUNTRY,OA:A5057186744
"REYMEN IMMJ, 2015, STRATEG ENTREP J",ORCID:0000-0002-8654-0950,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-8654-0950
"REYMEN IMMJ, 2015, STRATEG ENTREP J",ORCID:0000-0001-6758-5304,NO AFFILIATION,NO COUNTRY,ORCID:0000-0001-6758-5304
"YADAV A, 2024, J ORGAN CHANGE MANAG",ORCID:0000-0001-7209-3048,NO AFFILIATION,NO COUNTRY,ORCID:0000-0001-7209-3048
"REYES-GÓMEZ JD, 2025, INT J ENTREP BEHAV R",ORCID:0000-0001-5093-8097,NO AFFILIATION,NO COUNTRY,ORCID:0000-0001-5093-8097
"REYES-GÓMEZ JD, 2025, INT J ENTREP BEHAV R",ORCID:0000-0002-4302-3005,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-4302-3005
"KHASMAFKAN-NEZAM MH, 2025, SOC RESPONSIB J",OA:A5117622947,NO AFFILIATION,NO COUNTRY,OA:A5117622947
"REY-MARTÍ A, 2015, J BUS RES",ORCID:0000-0003-4132-7109,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4132-7109
"REY-MARTÍ A, 2015, J BUS RES",ORCID:0000-0002-8759-4176,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-8759-4176
"SU ZF, 2011, ASIA PAC J MANAG",ORCID:0000-0002-1163-4557,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-1163-4557
"SOUSA SD, 2006, BENCHMARKING",ORCID:0000-0002-3631-6440,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-3631-6440
"SOUSA SD, 2006, BENCHMARKING",OA:A5061457191,NO AFFILIATION,NO COUNTRY,OA:A5061457191
"SOUSA SD, 2006, BENCHMARKING",OA:A5104365093,NO AFFILIATION,NO COUNTRY,OA:A5104365093
"SOLUK J, 2023, TECHNOL FORECAST SOC",OA:A5028024937,NO AFFILIATION,NO COUNTRY,OA:A5028024937
"SOLUK J, 2023, TECHNOL FORECAST SOC",ORCID:0000-0002-6669-9673,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6669-9673
"SOLTANIZADEH S, 2016, MANAG RES REV",OA:A5035269404,NO AFFILIATION,NO COUNTRY,OA:A5035269404
"SOLTANIZADEH S, 2016, MANAG RES REV",ORCID:0000-0001-7200-6899,NO AFFILIATION,NO COUNTRY,ORCID:0000-0001-7200-6899
"SOLTANIZADEH S, 2016, MANAG RES REV",OA:A5074385830,NO AFFILIATION,NO COUNTRY,OA:A5074385830
"SOLTANIZADEH S, 2016, MANAG RES REV",ORCID:0000-0002-3492-7483,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-3492-7483
"SOLTANIAN M, 2016, J SCI TECHNOL POLICY",OA:A5050958626,NO AFFILIATION,NO COUNTRY,OA:A5050958626
"SOLTANIAN M, 2016, J SCI TECHNOL POLICY",OA:A5101190909,NO AFFILIATION,NO COUNTRY,OA:A5101190909
"SOLESVIK MZ, 2017, TECHNOL INNOV MANAG",ORCID:0000-0002-6702-4643,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6702-4643
"SOLANO LVL, 2019, FOOD POLICY",ORCID:0000-0001-9765-6046,NO AFFILIATION,NO COUNTRY,ORCID:0000-0001-9765-6046
"SOLANO LVL, 2019, FOOD POLICY",ORCID:0000-0001-8052-4346,NO AFFILIATION,NO COUNTRY,ORCID:0000-0001-8052-4346
"SOLANO LVL, 2019, FOOD POLICY",ORCID:0000-0002-8154-5971,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-8154-5971
"SOLANO LVL, 2019, FOOD POLICY",ORCID:0000-0002-8323-1706,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-8323-1706
"SOLAIMANI S, 2022, INT J ENTREP BEHAV R",ORCID:0000-0003-3787-5110,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-3787-5110
"SOLAIMANI S, 2022, INT J ENTREP BEHAV R",ORCID:0000-0001-8871-6334,NO AFFILIATION,NO COUNTRY,ORCID:0000-0001-8871-6334
"SOLAIMANI S, 2022, INT J ENTREP BEHAV R",ORCID:0000-0001-9058-0798,NO AFFILIATION,NO COUNTRY,ORCID:0000-0001-9058-0798
"SOK P, 2017, J SERV THEOR PRACT",ORCID:0000-0001-5392-2656,NO AFFILIATION,NO COUNTRY,ORCID:0000-0001-5392-2656
"ALSHAGAWI M, 2024, COGENT BUS MANAG",ORCID:0000-0001-6267-6733,NO AFFILIATION,NO COUNTRY,ORCID:0000-0001-6267-6733
"SOININEN J, 2012, MANAG RES REV",ORCID:0000-0001-9400-6400,NO AFFILIATION,NO COUNTRY,ORCID:0000-0001-9400-6400
"SOININEN J, 2012, MANAG RES REV",ORCID:0000-0001-6527-6428,NO AFFILIATION,NO COUNTRY,ORCID:0000-0001-6527-6428
"SOININEN J, 2012, MANAG RES REV",ORCID:0000-0001-6528-775X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0001-6528-775X
"SOGA LR, 2022, J BUS RES",OA:A5075001151,NO AFFILIATION,NO COUNTRY,OA:A5075001151
"SOGA LR, 2022, J BUS RES",OA:A5088994878,NO AFFILIATION,NO COUNTRY,OA:A5088994878
"SOGA LR, 2022, J BUS RES",OA:A5016330140,NO AFFILIATION,NO COUNTRY,OA:A5016330140
"BACHMANN JT, 2021, IND MARKET MANAG",OA:A5080052319,NO AFFILIATION,NO COUNTRY,OA:A5080052319
"SOEGOTO ES, 2018, EUROPEAN RESEARCH STUDIES JOURNAL",OA:A5087106056,NO AFFILIATION,NO COUNTRY,OA:A5087106056
"SOBHAN N, 2024, J ENTREP EMERG ECON",OA:A5061251207,NO AFFILIATION,NO COUNTRY,OA:A5061251207
"SOBHAN N, 2024, J ENTREP EMERG ECON",ORCID:0000-0003-1765-7888,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1765-7888
"SOBEL ME, 1982, SOCIOLOGICAL METHODO",OA:A5059328219,NO AFFILIATION,NO COUNTRY,OA:A5059328219
"SOBAR A, 2021, RESEARCH HORIZON",OA:A5010259405,NO AFFILIATION,NO COUNTRY,OA:A5010259405
"SOBAR A, 2021, RESEARCH HORIZON",ORCID:0000-0003-0166-5744,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-0166-5744
"SOBAR A, 2021, RESEARCH HORIZON",OA:A5043255387,NO AFFILIATION,NO COUNTRY,OA:A5043255387
"SOBAR A, 2021, RESEARCH HORIZON",ORCID:0000-0002-0716-2139,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-0716-2139
"SOBAR A, 2021, RESEARCH HORIZON",ORCID:0000-0002-1452-2091,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-1452-2091
"SOANA MG, 2011, J BUS ETHICS",ORCID:0000-0002-7186-7782,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-7186-7782
"SNOW CC, 1980, ADMIN SCI QUART",OA:A5037527352,NO AFFILIATION,NO COUNTRY,OA:A5037527352
"SMOLKA KM, 2018, ENTREP THEORY PRACT",ORCID:0000-0002-9956-5815,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-9956-5815
"SMOLKA KM, 2018, ENTREP THEORY PRACT",ORCID:0000-0002-9594-3575,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-9594-3575
"SMITH TM, 1999, J OPER MANAG",ORCID:0000-0001-6428-8777,NO AFFILIATION,NO COUNTRY,ORCID:0000-0001-6428-8777
"SMITH TM, 1999, J OPER MANAG",OA:A5000836427,NO AFFILIATION,NO COUNTRY,OA:A5000836427
"BACHMANN JT, 2021, IND MARKET MANAG",OA:A5086079608,NO AFFILIATION,NO COUNTRY,OA:A5086079608
"SMITH L, 2016, TOURISM MANAGE",OA:A5071970861,NO AFFILIATION,NO COUNTRY,OA:A5071970861
"SMITH L, 2016, TOURISM MANAGE",OA:A5028837287,NO AFFILIATION,NO COUNTRY,OA:A5028837287
"AL-TATE ADS, 2022, J ASIAN FINANC ECON",ORCID:0000-0002-6309-8346,"UNIV ANBAR, COLL ADM & ECON, DEPT BUSINESS ADM, RAMADI, ANBAR, IRAQ.;",IRAQ,ORCID:0000-0002-6309-8346
"SMITH KG, 1994, ADMIN SCI QUART",OA:A5053182510,NO AFFILIATION,NO COUNTRY,OA:A5053182510
"SMITH KG, 1994, ADMIN SCI QUART",OA:A5010641020,NO AFFILIATION,NO COUNTRY,OA:A5010641020
"SMITH KG, 1994, ADMIN SCI QUART",OA:A5002922463,NO AFFILIATION,NO COUNTRY,OA:A5002922463
"SONAR H, 2023, BUS STRATEGY DEV",ORCID:0000-0001-9114-7785,NO AFFILIATION,NO COUNTRY,ORCID:0000-0001-9114-7785
